COUNTRY_CODE,COUNTRY_TITLE,ISO_YEAR,ISO_WEEK,TRANSMISSION,TRANSMISSION_CL,TRANSMISSION_COM,SERIOUSNESS,SERIOUSNESS_CL,SERIOUSNESS_COM,IMPACT,IMPACT_CL,IMPACT_COM,ISO_SD,ISO_ED,ISOYW,ISO_YW,ISO_YW_STR,ISO2,WHOREGION,FLUREGION,FLU_SEASON,COUNTRY_ID,YEAR_ID,WEEK_ID
CAN,Canada,1996,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/1/1996,1/7/1996,199601,1996-01,19961,CA,AMR,FLU_NRT_AMR,North,280,205,44
CAN,Canada,1996,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/8/1996,1/14/1996,199602,1996-02,19962,CA,AMR,FLU_NRT_AMR,North,280,205,45
CAN,Canada,1996,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/15/1996,1/21/1996,199603,1996-03,19963,CA,AMR,FLU_NRT_AMR,North,280,205,46
CAN,Canada,1996,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/22/1996,1/28/1996,199604,1996-04,19964,CA,AMR,FLU_NRT_AMR,North,280,205,47
CAN,Canada,1996,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1/29/1996,2/4/1996,199605,1996-05,19965,CA,AMR,FLU_NRT_AMR,North,280,205,48
CAN,Canada,1996,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2/5/1996,2/11/1996,199606,1996-06,19966,CA,AMR,FLU_NRT_AMR,North,280,205,49
CAN,Canada,1996,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2/12/1996,2/18/1996,199607,1996-07,19967,CA,AMR,FLU_NRT_AMR,North,280,205,50
CAN,Canada,1996,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2/19/1996,2/25/1996,199608,1996-08,19968,CA,AMR,FLU_NRT_AMR,North,280,205,51
CAN,Canada,1996,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2/26/1996,3/3/1996,199609,1996-09,19969,CA,AMR,FLU_NRT_AMR,North,280,205,52
CAN,Canada,1996,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3/4/1996,3/10/1996,199610,1996-10,199610,CA,AMR,FLU_NRT_AMR,North,280,205,53
CAN,Canada,1996,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3/11/1996,3/17/1996,199611,1996-11,199611,CA,AMR,FLU_NRT_AMR,North,280,205,54
CAN,Canada,1996,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3/18/1996,3/24/1996,199612,1996-12,199612,CA,AMR,FLU_NRT_AMR,North,280,205,55
CAN,Canada,1996,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3/25/1996,3/31/1996,199613,1996-13,199613,CA,AMR,FLU_NRT_AMR,North,280,205,56
CAN,Canada,1996,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4/1/1996,4/7/1996,199614,1996-14,199614,CA,AMR,FLU_NRT_AMR,North,280,205,57
CAN,Canada,1996,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4/8/1996,4/14/1996,199615,1996-15,199615,CA,AMR,FLU_NRT_AMR,North,280,205,58
CAN,Canada,1996,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4/15/1996,4/21/1996,199616,1996-16,199616,CA,AMR,FLU_NRT_AMR,North,280,205,59
CAN,Canada,1996,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4/22/1996,4/28/1996,199617,1996-17,199617,CA,AMR,FLU_NRT_AMR,North,280,205,60
CAN,Canada,1996,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4/29/1996,5/5/1996,199618,1996-18,199618,CA,AMR,FLU_NRT_AMR,North,280,205,61
CAN,Canada,1996,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5/6/1996,5/12/1996,199619,1996-19,199619,CA,AMR,FLU_NRT_AMR,North,280,205,62
CAN,Canada,1996,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5/13/1996,5/19/1996,199620,1996-20,199620,CA,AMR,FLU_NRT_AMR,North,280,205,63
CAN,Canada,1996,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5/20/1996,5/26/1996,199621,1996-21,199621,CA,AMR,FLU_NRT_AMR,North,280,205,64
CAN,Canada,1996,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5/27/1996,6/2/1996,199622,1996-22,199622,CA,AMR,FLU_NRT_AMR,North,280,205,65
CAN,Canada,1996,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6/3/1996,6/9/1996,199623,1996-23,199623,CA,AMR,FLU_NRT_AMR,North,280,205,66
CAN,Canada,1996,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6/10/1996,6/16/1996,199624,1996-24,199624,CA,AMR,FLU_NRT_AMR,North,280,205,67
CAN,Canada,1996,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6/17/1996,6/23/1996,199625,1996-25,199625,CA,AMR,FLU_NRT_AMR,North,280,205,68
CAN,Canada,1996,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6/24/1996,6/30/1996,199626,1996-26,199626,CA,AMR,FLU_NRT_AMR,North,280,205,69
CAN,Canada,1996,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/1/1996,7/7/1996,199627,1996-27,199627,CA,AMR,FLU_NRT_AMR,North,280,205,70
CAN,Canada,1996,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/8/1996,7/14/1996,199628,1996-28,199628,CA,AMR,FLU_NRT_AMR,North,280,205,71
CAN,Canada,1996,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/15/1996,7/21/1996,199629,1996-29,199629,CA,AMR,FLU_NRT_AMR,North,280,205,72
CAN,Canada,1996,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/22/1996,7/28/1996,199630,1996-30,199630,CA,AMR,FLU_NRT_AMR,North,280,205,73
CAN,Canada,1996,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/29/1996,8/4/1996,199631,1996-31,199631,CA,AMR,FLU_NRT_AMR,North,280,205,74
CAN,Canada,1996,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8/5/1996,8/11/1996,199632,1996-32,199632,CA,AMR,FLU_NRT_AMR,North,280,205,75
CAN,Canada,1996,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8/12/1996,8/18/1996,199633,1996-33,199633,CA,AMR,FLU_NRT_AMR,North,280,205,76
CAN,Canada,1996,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8/19/1996,8/25/1996,199634,1996-34,199634,CA,AMR,FLU_NRT_AMR,North,280,205,77
CAN,Canada,1996,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8/26/1996,9/1/1996,199635,1996-35,199635,CA,AMR,FLU_NRT_AMR,North,280,205,78
CAN,Canada,1996,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9/2/1996,9/8/1996,199636,1996-36,199636,CA,AMR,FLU_NRT_AMR,North,280,205,79
CAN,Canada,1996,37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9/9/1996,9/15/1996,199637,1996-37,199637,CA,AMR,FLU_NRT_AMR,North,280,205,80
CAN,Canada,1996,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9/16/1996,9/22/1996,199638,1996-38,199638,CA,AMR,FLU_NRT_AMR,North,280,205,81
CAN,Canada,1996,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9/23/1996,9/29/1996,199639,1996-39,199639,CA,AMR,FLU_NRT_AMR,North,280,205,82
CAN,Canada,1996,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9/30/1996,10/6/1996,199640,1996-40,199640,CA,AMR,FLU_NRT_AMR,North,280,205,83
CAN,Canada,1996,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/7/1996,10/13/1996,199641,1996-41,199641,CA,AMR,FLU_NRT_AMR,North,280,205,84
CAN,Canada,1996,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/14/1996,10/20/1996,199642,1996-42,199642,CA,AMR,FLU_NRT_AMR,North,280,205,85
